达人头像,达人名称,达人账号,达人主页链接,达人视频数,达人直播数,达人粉丝数,粉丝增长数,均播量,达人带货数,近30日销售额,近30日销量,视频GPM,直播GPM,MCN,达人类型
https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/5d1958f6-c9d4-4c0e-a092-617132863109.jpeg,Bri Jaynes Speaker,brijaynesspeaker,https://www.tiktok.com/@brijaynesspeaker,114,0,23483,22,5963,552,227.91,7,15.44,0,,个人运营
https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/5d50c235-0a34-4f66-a8c9-9e20d89f40fc.jpeg,Resilience Coach & Speaker,iamnatmartin,https://www.tiktok.com/@iamnatmartin,0,0,6048,1,0,15,50,5,5,15,,个人运营
https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/36915e7c-b11e-4f7f-8874-13285f0e1948.jpeg,Aniino motivational speaker,aniinodesigns,https://www.tiktok.com/@aniinodesigns,0,0,8699,-1,0,49,50,5,5,15,,个人运营
https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/f8f33705-6cf5-40b1-aa72-3a570b17f001.jpeg,Fauxtivational Speaker,fauxtivational_speaker,https://www.tiktok.com/@fauxtivational_speaker,4,26,414116,-5,12104,17,50,5,5,15,,个人运营
https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/77089d3f-b89a-48b0-8ff2-3d5cd51d3b91.jpeg,"Men’s Mentor, Coach & Speaker",iseluleko_,https://www.tiktok.com/@iseluleko_,0,0,6060,-2,0,1,50,5,5,15,,个人运营
https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/888958e2-b30b-44fe-9e1e-8286ce672503.jpeg,Relationship Coach & Speaker,karinafdaves,https://www.tiktok.com/@karinafdaves,0,0,122880,-51,0,0,50,5,5,15,,个人运营
https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/cd69bc7c-803d-4aac-b49b-a65ba92a3bdc.jpeg,Geraldin ✨ 2x Author & Speaker,geraldinnoemis,https://www.tiktok.com/@geraldinnoemis,0,0,597,2,0,2,50,5,5,15,,店铺运营
https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/56bb85ee-dec6-4bf8-a98a-171a3219ac9c.jpeg,Rocio 🚘Broker Coach & Speaker,rocio.verdin,https://www.tiktok.com/@rocio.verdin,26,0,9099,-12,2595,72,50,5,5,15,,个人运营
https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/de109f3f-247a-43c4-a549-433319da9158.jpeg,Christin- Motivational Speaker,_stayhype,https://www.tiktok.com/@_stayhype,9,147,168623,287,6936,3,50,5,5,15,,店铺运营
https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/6f633dfb-c733-4fba-9be8-a44cd2194efd.jpeg,Anything Speaker,hungiggity,https://www.tiktok.com/@hungiggity,2,0,4286,-1,341,5,50,5,5,15,,个人运营
https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/599a7586-0bbe-485e-afa1-5e5db76b6ef4.jpeg,Shell Speaker,iiuookmb,https://www.tiktok.com/@iiuookmb,0,0,7376,0,0,2,50,5,5,15,,个人运营
https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/8af0fbed-62e5-4583-9784-dfb29cb21b13.jpeg,Motivational speaker,motivationalspeeches071,https://www.tiktok.com/@motivationalspeeches071,0,4,14747,-52,0,0,50,5,5,15,,个人运营
https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/35da7fcd-5c31-4240-a8fb-1c5359fb1e31.jpeg,Diy Speaker,diy.speaker3,https://www.tiktok.com/@diy.speaker3,0,0,498487,1588,0,0,50,5,5,15,,个人运营
https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/43d71487-37dc-4835-89e2-7a2cbe13a8f9.jpeg,Ellen Speaker,forgetthetakeout,https://www.tiktok.com/@forgetthetakeout,0,0,5488,0,0,0,50,5,5,15,,个人运营
https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/33e44a2a-ca7a-4825-800b-cab5a80944ee.jpeg,Christy Speaker,christyspeaker,https://www.tiktok.com/@christyspeaker,0,0,5411,-5,0,4,50,5,5,15,,个人运营
https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/718ff842-0c99-449d-9b36-66f214c1d8fc.jpeg,Anything Speaker,anythingspeaker,https://www.tiktok.com/@anythingspeaker,3,0,51398,-138,4919,2,45.97,1,90.67,0,,店铺运营
https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/63f6c22c-ce5c-47ba-9f4a-ffc9a01b6ddd.jpeg,Lolly | Inspirational Speaker,lolly.laaves,https://www.tiktok.com/@lolly.laaves,0,6,14461,0,0,5,0,0,,,,个人运营
https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/06e55bad-9abc-4ee7-aac3-0630b9887027.jpeg,Speaker | Pull-up Coach,angelagargano,https://www.tiktok.com/@angelagargano,0,0,45296,-1,0,5,0,0,0,0,,个人运营
https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/5fc87d77-0e34-4892-8602-6c34d29e60dd.jpeg,Motivational Speaker | Coach,officialjasonqueen,https://www.tiktok.com/@officialjasonqueen,0,0,22647,-2,0,3,0,0,,,,个人运营
https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/963ff1e4-5936-4adb-8158-cfca2cb432f6.jpeg,Dr. V The Speaker,drvthespeaker,https://www.tiktok.com/@drvthespeaker,0,0,11792,2,0,2,0,0,0,0,,个人运营
https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/4834a6e0-2bab-46d3-9bf2-a23dbcd5ade9.jpeg,Millennial Speaker OfThe House,maggiethemillennial,https://www.tiktok.com/@maggiethemillennial,0,0,23786,-2,0,4,0,0,0,0,,个人运营
