商品名称,商品缩略图,商品链接,国家、地区,商品价格最大值,商品价格最小值,商品星级,店铺商标链接,店铺链接,店铺名称,店铺销量,店铺商品数,商品类目-en,商品类目-zh,商品评论数,销量环比,带货达人数,上架时间,运费（预设目的地为纽约）,销量,销售额,运营模式
"IMOLI Wireless Audio Bluetooth Speaker with Emergency charging, 5in1 Phone Holder Power Bank with Colorful Ambient Light for Tablet iPhone Android",http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/f0c60d0a-6915-4e8a-b6b4-f898e3660a1d.jpeg,https://shop.tiktok.com/view/product/1729488621914722962?region=US,美国,9.99,9.99,4.5,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/d9000fac-4ca1-4d2d-bb16-56b69542e048.jpeg,aweme://ec/store?sellerId=7495382455979707026&url_maker=store_rpc&store_page_version=1,YOYOWAY,546691,22,Phones & Electronics,手机与数码,9440,64.95,15373,2024-06-22,$2.99,4442,66585.58,
"Upgraded 5in1 Wireless Bluetooth Speaker Phone Holder - Colorful Light Spinning Foldable Emergency Charging for Tablet IOS Android, Gift for Men Women",https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/d4d8235e-44a8-4a54-ad09-438dc8f9ca12__1730999694237012693.jpeg,https://shop.tiktok.com/view/product/1730999694237012693?region=US,美国,9.99,9.99,4.4,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/568dbcf1-b00d-4713-9f7d-218fbb87e47f.jpeg,aweme://ec/store?sellerId=7495569533682027221&url_maker=store_rpc&store_page_version=1,LINKFENS SHOP,6417,1,Phones & Electronics,手机与数码,535,40.12,119,2025-04-21,$0.00,461,4605.39,
"Wireless Audio Bluetooth Speaker 5in1 Phone Holder Emergency Rechargeable withColorful Ambient Light 300° Foldable for Tablet iPhone Android, Gifts for Men Women ，Black rotation speaker stand 3 in 1 wire les sound",http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/08dae7ac-ccf0-4d74-8bb7-23f439abda9e.jpeg,https://shop.tiktok.com/view/product/1730834465082544836?region=US,美国,8.99,8.99,4.7,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/3df60be61a5d4711a9bac0f08ba6481c~tplv-aphluv4xwc-resize-webp:300:300.webp?from=2422056039,aweme://ec/store?sellerId=7496001084261501636&url_maker=store_rpc&store_page_version=1,NovaTek,85010,110,Phones & Electronics,手机与数码,115,92.68,6,2025-03-25,$0.00,237,2130.63,
"Portable Bluetooth Speaker, Magnetic 2-in-1 Design, Wireless Mini Speaker, IPX4 Waterproof, Up to 10H Playtime, TWS Pairing, BT5.3, FM Radio, for Home/Party/Outdoor/Beach, Electronic Gadgets, Magnetic【STROMBERG】【TWIN-2】",https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/eb45f44d-66c9-4bca-9f49-0a23352bb786__1730308880048623980.jpeg,https://shop.tiktok.com/view/product/1730308880048623980?region=US,美国,28.99,28.99,4.1,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/cf985960-eea1-4e1c-bc9e-7fa67284f8d1.webp,aweme://ec/store?sellerId=7496007276517689708&url_maker=store_rpc&store_page_version=1,Dophin Electronic Shop,1171,8,Phones & Electronics,手机与数码,35,107.14,143,2025-02-18,$6.99,174,5044.26,
"Waterproof Bluetooth Speaker with Suction Cup & LED Lights, 360° Bass Sound | Wireless Shower Speaker for Bath/Beach/Camping | Built-in Mic & Bluetooth 5.4 | Perfect Gift for Men/Women/Kids (Black)",https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/f3097c7f-8b7f-4e7e-b8aa-abbb64c2e0b6__1730975355837190917.jpeg,https://shop.tiktok.com/view/product/1730975355837190917?region=US,美国,6.42,6.42,3.9,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/3dbe34802a7c4707853051bee57c0728~tplv-dx0w9n1ysr-resize-webp:300:300.webp?from=2422056039,aweme://ec/store?sellerId=7496027665007282949&url_maker=store_rpc&store_page_version=1,LINDA STORE,8881,2,Phones & Electronics,手机与数码,542,5.49,690,2025-04-14,$0.00,173,1110.66,
"Portable Speaker, Audio,Bluetooth Wireless IPX5 Waterproof Shower Speaker,  subwoofers, Loud Stereo Sound Deep Bass,TWS Paire, RGB Lights,Long Playtime for Outdoor Party,Bathroom,Office, Great Gift,for FathersDayGift, TikTokShopSummerTurnUp",https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/faa2a1e2-d1ed-49fb-bfac-7ef5e825c3fb__1730450577795682720.jpeg,https://shop.tiktok.com/view/product/1730450577795682720?region=US,美国,9.99,9.99,4.6,https://p16-oec-ttp.tiktokcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/63777baed3744b67a424c8f09af78d30~tplv-omjb5zjo8w-resize-webp:300:300.webp?from=2422056039,aweme://ec/store?sellerId=7496035641411930528&url_maker=store_rpc&store_page_version=1,QPS TECH,1884,3,Phones & Electronics,手机与数码,60,60.98,36,2025-04-08,$0.00,132,1318.68,
XBJ Diamond Projector 24/5G WiFi 360 Degree HD LED Multifunctional Projector with Built-in Speaker for Home Cinema Outdoor Use and 4K Decoding Ideal Holiday Gift,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/4f7ca659-6ec7-4c0f-bad9-8e062cb214b2.jpeg,https://shop.tiktok.com/view/product/1729666565917675857?region=US,美国,36.33,35.33,4,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/120127f3-7f9c-445b-81be-638cbce7938c.jpeg,aweme://ec/store?sellerId=7495925022664132945&url_maker=store_rpc&store_page_version=1,YTHY Global,31128,40,Phones & Electronics,手机与数码,2212,-11.49,6049,2024-10-04,$9.99,131,4693.73,
"Nova Portable Rechargeable Karaoke Bluetooth Speaker by Fuzix – Dual Wireless Microphones, Dynamic LED Lights, FM Radio, USB, Micro SD with Remote Audio Card Remote Control",https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/47d692f7-c27f-48d0-b55b-2cfa1c9c5a07__1729625828716745542.jpeg,https://shop.tiktok.com/view/product/1729625828716745542?region=US,美国,109.99,109.99,4.4,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/6b174f21-f556-4a5b-8b9a-6895c8bddc26.jpeg,aweme://ec/store?sellerId=7495894368823249734&url_maker=store_rpc&store_page_version=1,fuzix,11638,13,Phones & Electronics,手机与数码,661,687.5,634,2024-09-14,$0.00,126,13858.74,
"Mini Bluetooth Shower Speaker with LED light, Portable IPX4 Waterproof, Hands-Free Speakerphone. Rechargeable Using Micro USB, Wireless Stereo for Beach, Shower & Home",http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/2fa5b560-fd59-49de-ae32-4049c590dea1.jpeg,https://shop.tiktok.com/view/product/1729451569154592995?region=US,美国,3.99,3.99,4.3,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/97e47d6f-08e5-4e85-843a-a536fed03112.jpeg,aweme://ec/store?sellerId=7495641368396990691&url_maker=store_rpc&store_page_version=1,Tetac,213643,10,Phones & Electronics,手机与数码,10580,-14.69,22386,2024-04-29,$4.21,122,486.78,
"[Father's Day Gift]AKLLCCR Wireless Induction Audio Bluetooth Speaker 5in1 Cellphone Holder USB Emergency Rechargeable (3000mAh) Portable Power Mobile Tablet Stand with Colorful Ambient Light Gifts for Friend, Family",http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/33d3862a-0054-4c73-af5c-a38cfc45ae49.jpeg,https://shop.tiktok.com/view/product/1729579334325867179?region=US,美国,15.99,15.99,4.5,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/f4a4cc75-800e-4879-b250-e6661cbf11a9.jpeg,aweme://ec/store?sellerId=7495447509494827691&url_maker=store_rpc&store_page_version=1,AKLLCCR SHOP,185314,9,Phones & Electronics,手机与数码,9846,-15.49,33306,2024-08-10,$7.99,120,1918.8,
"Father's Day Gift Dohelly 4 IN 1 Wireless Induction Audio Bluetooth Speaker, 360° Rotation Stand with LED, Universal Speaker Stands for Surround Sound&Charger,Portable Desktop Stand Gift  for Home, Shower, Outdoors, Travel",https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/72f31469-e70b-4d79-b23b-7b940004bef7__1730899697355101161.jpeg,https://shop.tiktok.com/view/product/1730899697355101161?region=US,美国,15.99,15.99,4.7,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/27156f91-d350-494c-83bc-fdf3764e4e72.jpeg,aweme://ec/store?sellerId=7495972354566818793&url_maker=store_rpc&store_page_version=1,Dohelly Official,10171,7,Phones & Electronics,手机与数码,601,-49.33,599,2025-04-07,$4.99,114,1822.86,
Wireless InductionAudio Bluetooth Speaker  5in1 Phone Holder Emergency Rechargeable (3000mAh) with Colorful Ambient Light 300° Foldable for Tablet iPhone Android phone holder speaker,https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/a5c6fd93-bf28-4d89-8873-876f1090a44e__1730526137714970675.jpeg,https://shop.tiktok.com/view/product/1730526137714970675?region=US,美国,9.35,6.95,4.4,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/a62e216a-b692-41fd-935d-44159277b913.webp,aweme://ec/store?sellerId=7496020401369090099&url_maker=store_rpc&store_page_version=1,Aiating,21914,21,Phones & Electronics,手机与数码,436,4.71,75,2025-01-20,$7.99,89,725.35,
"RGB Night Light Lamp Multifunctional Wireless Speaker, Speaker with Alarm Clock, Home Bedroom Decor, Charger Station Pad for iPhone Samsung Xiaomi, Boyfriend Gift, for Living Room, Smart, Decorative",http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/4d7b6778-945a-4875-8612-234c72867d7f.jpeg,https://shop.tiktok.com/view/product/1729665791218455069?region=US,美国,7.39,7.39,4.1,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/4a36bf23-846c-4a15-8f1f-12a74baaa2db.jpeg,aweme://ec/store?sellerId=8646932002768523805&url_maker=store_rpc&store_page_version=1,VIKEFON,92901,170,Phones & Electronics,手机与数码,5385,-23.15,9911,2024-10-10,$7.99,83,612.54,全托管
7-Tone Car Warning Siren Car Siren Horn Mic PA Speaker System Warning Amplifier Hooter 12V 80W 200dB,https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/2d0f4be9-9a58-4a02-816a-64fe84af5570__1731097122584564658.jpeg,https://shop.tiktok.com/view/product/1731097122584564658?region=US,美国,30.99,30.99,4.4,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/bc7c8dd4-a6c7-4379-bda1-0fe99c2c6f49.webp,aweme://ec/store?sellerId=7495985991610829746&url_maker=store_rpc&store_page_version=1,InnoTOOL,917,43,Tools & Hardware,五金工具,10,-21.43,55,2025-05-05,$0.00,77,2186.03,
Fuzix WS-538 Car Bluetooth Portable Speaker with LED AUX USB FM Rechargeable,https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/15591696-b9c3-4fe1-aa62-ce924bc30936__1730552780972790598.jpeg,https://shop.tiktok.com/view/product/1730552780972790598?region=US,美国,24.99,24.99,4.8,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/6b174f21-f556-4a5b-8b9a-6895c8bddc26.jpeg,aweme://ec/store?sellerId=7495894368823249734&url_maker=store_rpc&store_page_version=1,fuzix,11638,13,Phones & Electronics,手机与数码,55,170.37,11,2025-01-23,$0.00,73,1824.27,
