No.,platform,kol_account,kol_post_url
1,youtube,Mr LazyTech,https://www.youtube.com/watch?v=6uJ1Stn-r6Q&t=1s
2,youtube,AB Tech Vlog,https://www.youtube.com/watch?v=VN9IHp8qdiw
3,youtube,Rickyrodger,https://www.youtube.com/watch?v=t6K185yFccQ
4,youtube,Tech Therapy,https://www.youtube.com/watch?v=z12_ug0lU5k
5,youtube,Saurav Anuraj,https://www.youtube.com/watch?v=-1xKbtYZX9M
6,instagram,gizmogyn,https://www.instagram.com/reel/C2fFAYxvUuD/?igsh=MXd5ZXNheWZkY2JnNA%3D%3D
7,youtube,Mr Rude,https://www.youtube.com/watch?v=dhJN1mOtHQs&t=129s
8,instagram,mrcheri,https://www.instagram.com/reel/C3LBWCTxkG4/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
9,instagram,technobhawesh,https://www.instagram.com/reel/C3bnW2Avak8/?igsh=dnU3Z3Bwa2FudDBi
10,youtube,Techzonical,https://www.youtube.com/watch?v=4NKYTkjqDbc
11,youtube,ETetra Gadgets,https://www.youtube.com/watch?v=9T1g1XDhe5A
12,youtube,Techdreams,https://www.youtube.com/watch?v=xP4mhnz4R9M&t=31s
13,youtube,TechFreak,https://www.youtube.com/watch?v=Gv5mNqnUMJc
14,youtube,Tech Bengali,https://www.youtube.com/watch?v=0M_LMzWOSis
15,youtube,Arjun Tech,https://www.youtube.com/watch?v=TxsMpZCNPJo
16,youtube,WhySoTechie,https://www.youtube.com/watch?v=okg1xn-FASo
17,instagram,AR7 TECH,https://www.instagram.com/reel/DDQ_OUfSxU2/
18,youtube,Electrical Unboxing,https://www.youtube.com/shorts/PTWNdz736AY
19,youtube,SteReo,https://www.youtube.com/shorts/1yvDIEteE3A
20,instagram,SteReo,https://www.instagram.com/p/C344KrLxU-l/
21,instagram,techbits__,https://www.instagram.com/reel/C4xpze6rBlC/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
22,instagram,techxstreet,https://www.instagram.com/reel/C4-qntGvHW2/
23,instagram,ask.theashugandhi,https://www.instagram.com/ask.theashugandhi/
24,youtube,Gupta Information Systems in Hindi,https://www.youtube.com/shorts/BuZebi87qeE
25,youtube,Mr Rudee,https://www.youtube.com/watch?v=_fZogMcJH6o&t=181s
26,youtube,WhySoTechie,https://www.youtube.com/watch?v=oCHo7zHmP0Y
27,youtube,WhySoTechie,https://www.youtube.com/shorts/jTVVt7SM_OE
28,youtube,WhySoTechie,https://www.youtube.com/watch?v=-PjFO2ortDM&t=96s
29,youtube,WhySoTechie,https://www.youtube.com/watch?v=hsjPYfPs66Y
30,youtube,SteReo,https://www.youtube.com/shorts/aPOn2g4Hib8
31,youtube,SteReo,https://www.youtube.com/shorts/09kmvMT3d2I
32,youtube,AB Tech Vlog,https://www.youtube.com/watch?v=orPtHZw-Tow
33,instagram,technobhawesh,https://www.instagram.com/reel/C592Zd9y43n/?igsh=YnN4ZnU0aDJ1cGR0
34,instagram,mrcheri,https://www.instagram.com/reel/C6DPUu6Rfu3/?igsh=MW9nd2k1NzdhczZsNg%3D%3D
35,youtube,Technojoy Logy,https://www.youtube.com/watch?v=JbkED8CAdtI
36,instagram,techxanmol,https://www.instagram.com/edushop.in/reels/
37,youtube,Indori Explorer,https://www.youtube.com/watch?v=YM1aIqKb16Y
38,instagram,Rickyrodger,https://www.instagram.com/reel/C6Eb96py3-i/
39,youtube,Rickyrodger,https://www.youtube.com/watch?v=XAstmObjT8o&t=21s
40,youtube,Rickyrodger,https://www.youtube.com/shorts/i2ut0Ny1hl4
41,youtube,Meta Tech Reviews,https://www.youtube.com/watch?v=spJbpQXbmKc&t=22s
42,instagram,techbits__,https://www.instagram.com/reel/C63g_kixp79/
43,youtube,Tech Dreams,https://www.youtube.com/watch?v=PtivzZoAnFU&t=255s
44,instagram,ask.theashugandhi,https://www.instagram.com/reel/C7bine1Sp9W/
45,instagram,tec_viral,https://www.instagram.com/reel/C7mDwwxyCEu/
46,youtube,True Techy,https://www.youtube.com/watch?v=AK0yraaLWrw&t=189s
47,youtube,TechReflex,https://www.youtube.com/watch?v=vrmqUDhu0zg
48,instagram,ankit.joshi._,https://www.instagram.com/reel/C8D6e0vhncJ/
49,instagram,bobby_ustd,https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fbobby_ustad%2Freel%2FC8Rpk-aSIbm%2F&is_from_rle
50,youtube,TECHMESH,https://www.youtube.com/watch?v=0AEoRn7LuWA
51,youtube,Adithya Tech தமிழ்,https://www.youtube.com/watch?v=HutgI3mtJj0
52,youtube,Nitin Tns Green,https://www.youtube.com/watch?v=REUcxQ5Fb4U
53,youtube,Mr Rudee,https://www.youtube.com/watch?v=4OXiQ8uekDc
54,youtube,SteReo,https://www.youtube.com/shorts/I43p8uUxVfQ
55,instagram,technobhawesh,https://www.instagram.com/reel/C8lRBylidoT/?igsh=NnFrYnpkMHBwazBl
56,instagram,"techbits__
",https://www.instagram.com/reel/C84NSFqhxpo/?igsh=MTE5Z2U3cXM4eno5ZQ==
57,youtube,Meta Tech Review,https://www.youtube.com/watch?v=qr-vVB6kMMk
58,youtube,True Techy,https://www.youtube.com/watch?v=sNaLyJdkDbc&t=239s
59,youtube,whysotechie,https://www.youtube.com/watch?v=7kKE9EpSv3A
60,instagram,mrcheri,https://www.instagram.com/mrcheri/
61,instagram,ask.theashugandhi,https://www.instagram.com/ask.theashugandhi/
62,instagram,techyoulogy,https://www.instagram.com/techyoulogy?igsh=MXUxODdoOWxscXRvYQ==
63,youtube,tech therapy,https://www.youtube.com/watch?v=4aoSUNLAENU
64,youtube,Techum,https://www.youtube.com/watch?v=zQ-91lmmGg4
65,youtube,Techreflex,https://www.youtube.com/watch?v=9OEpud18Vps&t=41s
66,instagram,technicoHimanshu,https://www.instagram.com/digi.bytess/
67,instagram,digi bytess,https://www.instagram.com/digi.bytess/
68,instagram,pritamtechmind,https://www.instagram.com/reel/C_nc8Jwv22K/?igsh=cTJ1bDA4aWFld2Zh
69,instagram,gadgetbhaii,https://www.instagram.com/reel/DCE3sRtSjZ6/?igsh=NHo0MTE3ZzFnNGVu
70,youtube,iGadz Unique,https://www.youtube.com/watch?v=peqbXA1GP5c
71,youtube,Smart Supporter,https://www.youtube.com/watch?v=HjN08m2fBKA
72,instagram,True Techy,https://www.instagram.com/p/C_BHo0NzbWo/
73,instagram,bhavna_pathania,https://www.instagram.com/reel/C_Nku1JPLYE/?igsh=ZjBvdDR5Nzc3dmE4
74,instagram,tec_viral,https://www.instagram.com/reel/C_dWDHGO5fM/?igsh=MXFkbzhsM29jbHV5MQ==
75,instagram,Techbit,https://www.instagram.com/reel/C_qBbbNh5Hz/?igsh=MWZxemlvaGNleWJxMw==
76,instagram,TechnoBhawesh,https://www.instagram.com/reel/C_zLwgxP2Gp/?igsh=MTR6d2VsZWs2dHBzNQ==
77,youtube,TechnoBhawesh,https://youtube.com/shorts/mn1T6zaxL1Y?feature=share
78,instagram,ask.theashugandhi,https://www.instagram.com/reel/DABEMOmz8Lq/?igsh=NzdhOTVrbmR6bGhl
79,instagram,tipsbyayush,https://www.instagram.com/reel/DAQ15G6SoIG/?igsh=MThqMm05ZGx6c3MxNw==
80,instagram,chad_Ashna,https://www.instagram.com/reel/DAKyaFoppP_/?igsh=NTc4MTIwNjQ2YQ==
81,instagram,gyan.monkey,https://www.instagram.com/gyan.monkey?igsh=MTZwbTFwaDljeTNlYw==
82,youtube,Jstech,https://www.youtube.com/watch?v=0mC22Bxte6U
83,instagram,ankit_ankk,https://www.instagram.com/reel/DBYlZeWSGzb/?igsh=d2kwYjgwYW13dzE0
84,youtube,Nexgen Harley,https://www.youtube.com/watch?v=6PBQhJ-92Uk
85,instagram,himanshu,https://www.instagram.com/reel/DC6iWlxSje8/?igsh=ZzZ3cGcwZTV5bDhv
86,youtube,Rickyrodger,https://www.youtube.com/shorts/6uk7eUx6o8I
87,instagram,Rickyrodger,https://www.instagram.com/reel/DBMBsjiy65U/?igsh=MXFzdXJyazFqa2Q5dg==
88,youtube,Techmesh,https://www.youtube.com/watch?v=etBUVnYiPnk
