No.,Region,Platform,kol_account,kol_url,,
1,Europe,tiktok,keepingupwiththekilics,https://www.tiktok.com/@keepingupwiththekilics/video/7335173112780180768,,
2,Europe,tiktok,keepingupwiththekilics,https://www.tiktok.com/@keepingupwiththekilics/video/7334730444564352289,,13
3,Europe,youtube,TechNuov,https://www.youtube.com/shorts/7OR6zFH1pdI,,
4,Europe,youtube,CSS,https://www.youtube.com/watch?v=2WnQnTxIraI,,
5,Europe,youtube,GADGET CRUNCH,https://www.youtube.com/watch?v=B2jDmstYDWk,,
6,Europe,youtube,Mister Quindi,https://www.youtube.com/watch?v=Aqyml-stfrw,,
7,Europe,youtube,Tech Room UK,https://www.youtube.com/watch?v=9H4vjdoqGjc,,
8,Europe,youtube,Jx - Unboxing & High-Tech,https://www.youtube.com/watch?v=1r4Srd-Ksuk&t=1s,,
9,Europe,youtube,I-AleX,https://www.youtube.com/watch?v=gX41J8tiEq8,,
10,Europe,youtube,Giuseppe Gravante - Tech,https://www.youtube.com/watch?v=29akASqcJHA,,
11,Europe,youtube,Moschuss,https://www.youtube.com/watch?v=_1GcU_-5fkY,,
12,Europe,youtube,XTOM CICOS - Tech,https://www.youtube.com/watch?v=67GySjz9RPU&t=71s,,
13,Europe,tiktok,braindegeek,https://www.tiktok.com/@braindegeek/video/7383316816786984225,,
14,Europe,youtube,I-AleX,https://www.youtube.com/watch?v=bTj5_MyELwQ&t=323s,,
15,Europe,youtube,AudioTechniker,https://www.youtube.com/watch?v=yOAnHd6t_K4,,
16,Europe,youtube,Chigz Tech Reviews,https://www.youtube.com/watch?v=Dwadx3Andi8,,
17,Europe,youtube,Tech Geek,https://www.youtube.com/watch?v=4-LBZ6_JkVo,,
18,Europe,youtube,Mr.UnboxTour,https://www.youtube.com/watch?v=s1wiihJ-C6k,,
19,Europe,youtube,Tech Room UK,https://www.youtube.com/watch?v=VnNzMxlDaDA,,
20,Europe,youtube,GADGET CRUNCH,https://www.youtube.com/watch?v=e2hKaHSBkt8&t=174s,,
21,Europe,youtube,Tech Nuovo,https://www.youtube.com/shorts/DKI_uKrHFg4,,
22,Europe,youtube,,https://www.youtube.com/watch?v=9G2gBwTTZqI,,
23,Europe,youtube,I-AleX,https://www.youtube.com/shorts/doXZE4FIhZU?feature=share,,
24,Europe,tiktok,Braindegeek,https://www.tiktok.com/@braindegeek/video/7413445818516098337,,
25,Europe,youtube,,https://www.youtube.com/shorts/8X2vzg_I8J8,,
26,Europe,tiktok,annaa_cologne,https://vm.tiktok.com/ZNewaSoyN/,,
