No.,channel,selfkoc_account,selfkoc_post_url,Likes,Comments,Views,selfkoc_post_date,selfkoc_video_id,,,,,,,,,,
1,youtube,@delimiroorozc,https://www.youtube.com//shorts/ioiKitoEKJk,103,0,33000,2025/4/4,ioiKitoEKJk,,,,,,,,,,
2,youtube,@myintgotsu,https://www.youtube.com//shorts/Y9_aNAt9BME,125,0,30000,2025/4/2,Y9_aNAt9BME,,,,,,,,,,
3,youtube,@myintgotsu,https://www.youtube.com//shorts/h9uqhXEQMeI,87,0,26000,2025/4/2,h9uqhXEQMeI,,,,,,,,,,
4,youtube,@davidmedeiros-f6g,https://www.youtube.com//shorts/hu5d6fTPT3I,98,1,23000,2025/4/4,hu5d6fTPT3I,,,,,,,,,,
5,youtube,@stephaniewarner-e1y,https://www.youtube.com//shorts/lWkW6f7uF2U,70,0,21000,2025/4/1,lWkW6f7uF2U,,,,,,,,,,
6,youtube,@myintgotsu,https://www.youtube.com//shorts/z0s8wxF82Kw,68,0,20000,2025/4/9,z0s8wxF82Kw,,,,,,,,,,
7,youtube,@delimiroorozc,https://www.youtube.com//shorts/c5tVVHzKfLQ,81,0,20000,2025/4/1,c5tVVHzKfLQ,,,,,,,,,,
8,youtube,@davidmedeiros-f6g,https://www.youtube.com//shorts/ZHaz9mZ2358,79,0,19000,2025/4/10,ZHaz9mZ2358,,,,,,,,,,
9,youtube,@stephaniewarner-e1y,https://www.youtube.com//shorts/KUy2Z08wtyg,69,0,15000,2025/3/12,KUy2Z08wtyg,,,,,,,,,,
10,youtube,@myintgotsu,https://www.youtube.com//shorts/PKKWXcLe6g8,61,0,14000,2025/4/1,PKKWXcLe6g8,,,,,,,,,,
11,youtube,@bigteddybearskitina,https://www.youtube.com//shorts/2mP_dXP-lOg,111,0,14000,2025/3/7,2mP_dXP-lOg,,,,,,,,,,
12,youtube,@myintgotsu,https://www.youtube.com//shorts/VWoGQNGtiUg,49,1,13000,2025/4/1,VWoGQNGtiUg,,,,,,,,,,
13,youtube,@delimiroorozc,https://www.youtube.com//shorts/Kmln_eR2ElI,92,1,13000,2025/2/27,Kmln_eR2ElI,,,,,,,,,,
14,youtube,@stephaniewarner-e1y,https://www.youtube.com//shorts/GM3Vb3F7d1E,108,1,13000,2025/2/26,GM3Vb3F7d1E,,,,,,,,,,
