No.,channel,selfkoc_account,selfkoc_post_url,selkoc_handle,selfkoc_uid,,,,,,,,,,,,,,,
1,instagram,griffinflorry1q0l9a,https://www.instagram.com/griffinflorry1q0l9a?igsh=OGQ5ZDc2ODk2ZA==,,,,,,,,,,,,,,,,,
2,instagram,ellisbobby4ni,https://www.instagram.com/ellisbobby4ni?igsh=OGQ5ZDc2ODk2ZA==,,,,,,,,,,,,,,,,,
3,instagram,frankrobert4f0z,https://www.instagram.com/frankrobert4f0z?igsh=OGQ5ZDc2ODk2ZA==,,,,,,,,,,,,,,,,,
4,tiktok,orozcde,https://www.tiktok.com/@orozcde?_t=ZT-8teSo9QuXtK&_r=1,@orozcde,7461984214105220000 ,,,,,,,,,,,,,,,
5,tiktok,bigtedd69,https://www.tiktok.com/@bigtedd69?_t=ZT-8teSrISR6LO&_r=1,@bigtedd69,7461985228435110000 ,,,,,,,,,,,,,,,
6,tiktok,myintgots,https://www.tiktok.com/@myintgots?_t=ZT-8teSsXLWPTK&_r=1,@myintgots,7461984250062880000 ,,,,,,,,,,,,,,,
7,youtube,myintgotsu,https://youtube.com/@myintgotsu?si=PvXxWnaYAAcr8OG_,,,,,,,,,,,,,,,,,
8,youtube,bigteddybearskitina,https://youtube.com/@bigteddybearskitina?si=BtzFsj7DWcgsCRzu,,,,,,,,,,,,,,,,,
9,youtube,delimiroorozc,https://youtube.com/@delimiroorozc?si=euHwpRUZHEHYdv_a,,,,,,,,,,,,,,,,,
10,tiktok,bonoh2306017,https://www.tiktok.com/@bonoh2306017?_t=ZM-8teSjV8OFVd&_r=1,@bonoh2306017,7463668142169110000 ,,,,,,,,,,,,,,,
11,tiktok,bonoh230601,https://www.tiktok.com/@bonoh230601?_t=ZM-8teSnLslTGg&_r=1,@bonoh230601,7463668159506900000 ,,,,,,,,,,,,,,,
12,tiktok,mariabjdzjo,https://www.tiktok.com/@mariabjdzjo?_t=ZM-8teSsY60IH0&_r=1,@mariabjdzjo,7467749589733730000 ,,,,,,,,,,,,,,,
13,instagram,tylerjoshuarzz,https://www.instagram.com/tylerjoshuarzz?igsh=MTQzYTE5ODBxM2oydA%3D%3D&utm_source=qr,,,,,,,,,,,,,,,,,
14,instagram,lucaswalter13jq,https://www.instagram.com/lucaswalter13jq?igsh=Yzc3dmRjdzFoMThz&utm_source=qr,,,,,,,,,,,,,,,,,
15,youtube,davidmedeiros-f6g,https://youtube.com/@davidmedeiros-f6g?si=LFQVhyFr0tP6xM9t,,,,,,,,,,,,,,,,,
16,youtube,stephaniewarner-e1y,https://youtube.com/@stephaniewarner-e1y?si=rlklm06wR5X1c5pU,,,,,,,,,,,,,,,,,
