No.,channel,selfkoc_account,selfkoc_post_url,Likes,Comments,shares,Views,selfkoc_post_date,,selfkoc_video_id
1,tiktok,@bonoh2306017,https://www.tiktok.com/@bonoh2306017/video/7476893358581927211,3081,11,106,"650,100",2025/3/2,,7476893358581927211
2,tiktok,@orozcde,https://www.tiktok.com/@orozcde/video/7479456645479746862,1633,9,77,"548,300",2025/3/8,,7479456645479746862
3,tiktok,@bonoh2306017,https://www.tiktok.com/@bonoh2306017/video/7477243627970891054,321,8,18,"153,700",2025/3/3,,7477243627970891054
4,tiktok,@bonoh2306017,https://www.tiktok.com/@bonoh2306017/video/7478320763699760430,382,3,34,"123,700",2025/3/5,,7478320763699760430
5,tiktok,@bonoh230601,https://www.tiktok.com/@bonoh230601/video/7475395152287272238,186,2,5,"39,000",2025/2/26,,7475395152287272238
6,tiktok,@orozcde,https://www.tiktok.com/@orozcde/video/7492442854057561390,32,1,7,"9,359",2025/4/12,,7492442854057561390
7,tiktok,@myintgots,https://www.tiktok.com/@myintgots/video/7476428371224808747,76,3,9,"7,693",2025/2/28,,7476428371224808747
8,tiktok,@bonoh2306017,https://www.tiktok.com/@bonoh2306017/video/7489443207189826862,110,0,14,"6,661",2025/4/5,,7489443207189826862
9,tiktok,@bonoh230601,https://www.tiktok.com/@bonoh230601/video/7492475194372820270,62,1,3,"5,292",2025/4/13,,7492475194372820270
10,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7475718171127745838,68,3,9,"5,127",2025/4/13,,7475718171127745838
11,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7479313143458598190,32,0,2,"4,605",2025/3/8,,7479313143458598190
12,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7476282628514057514,39,0,1,"4,562",2025/2/28,,7476282628514057514
13,tiktok,@bonoh2306017,https://www.tiktok.com/@bonoh2306017/video/7479866622774086955,45,1,3,"4,541",2025/3/10,,7479866622774086955
14,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7478883366922751275,50,0,5,"4,312",2025/3/7,,7478883366922751275
15,tiktok,@myintgots,https://www.tiktok.com/@myintgots/video/7474936380376812842,4,1,1,"4,192",2025/2/24,,7474936380376812842
16,tiktok,@mariabjdzjo,https://www.tiktok.com/@mariabjdzjo/video/7472023494839078190,57,0,3,"3,997",2025/2/16,,7472023494839078190
17,tiktok,@bonoh2306017,https://www.tiktok.com/@bonoh2306017/video/7476114101635222830,0,0,1,"3,973",2025/2/27,,7476114101635222830
18,tiktok,@bonoh230601,https://www.tiktok.com/@bonoh230601/video/7475182941354609966,0,0,0,"3,968",2025/2/25,,7475182941354609966
19,tiktok,@bonoh230601,https://www.tiktok.com/@bonoh230601/video/7464770607536753966,10,1,0,"3,733",2025/2/25,,7464770607536753966
20,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7478697495132998955,13,1,2,"3,714",2025/3/6,,7478697495132998955
21,tiktok,@bonoh230601,https://www.tiktok.com/@bonoh230601/video/7480945336572235050,18,0,0,"3,694",2025/3/12,,7480945336572235050
22,tiktok,@bonoh2306017,https://www.tiktok.com/@bonoh2306017/video/7482260874057534763,2,0,0,"3,551",2025/3/16,,7482260874057534763
23,tiktok,@bonoh2306017,https://www.tiktok.com/@bonoh2306017/video/7480135567905180971,3,0,1,"3,535",2025/3/10,,7480135567905180971
24,tiktok,@myintgots,https://www.tiktok.com/@myintgots/video/7479313137070542123,49,0,4,"3,493",2025/3/8,,7479313137070542123
25,tiktok,@bonoh2306017,https://www.tiktok.com/@bonoh2306017/video/7476415573421739307,1,0,0,"3,403",2025/2/28,,7476415573421739307
26,tiktok,@bonoh230601,https://www.tiktok.com/@bonoh230601/video/7486532094332505390,13,0,0,"3,389",2025/3/28,,7486532094332505390
27,tiktok,@bonoh230601,https://www.tiktok.com/@bonoh230601/video/7476113692753513774,6,0,1,"3,324",2025/2/27,,7476113692753513774
28,tiktok,@bonoh2306017,https://www.tiktok.com/@bonoh2306017/video/7483550343373114667,5,0,0,"3,285",2025/3/19,,7483550343373114667
29,tiktok,@bonoh2306017,https://www.tiktok.com/@bonoh2306017/video/7473549877809810734,2,0,1,"3,211",2025/3/19,,7473549877809810734
30,tiktok,@mariabjdzjo,https://www.tiktok.com/@mariabjdzjo/video/7482726501469785387,5,1,0,"3,202",2025/3/17,,7482726501469785387
31,tiktok,@myintgots,https://www.tiktok.com/@myintgots/video/7473881127250332970,12,0,0,"3,182",2025/2/21,,7473881127250332970
32,tiktok,@bonoh230601,https://www.tiktok.com/@bonoh230601/video/7470551251650923822,58,3,3,"3,154",2025/2/12,,7470551251650923822
33,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7485397120170626350,4,0,1,"3,052",2025/3/24,,7485397120170626350
34,tiktok,@bonoh2306017,https://www.tiktok.com/@bonoh2306017/video/7481281304378707246,5,0,0,"3,049",2025/3/13,,7481281304378707246
35,tiktok,@bonoh2306017,https://www.tiktok.com/@bonoh2306017/video/7466138811995655470,3,0,0,"2,810",2025/2/1,,7466138811995655470
36,tiktok,@bonoh230601,https://www.tiktok.com/@bonoh230601/video/7467936496952085803,5,0,0,"2,691",2025/2/5,,7467936496952085803
37,tiktok,@myintgots,https://www.tiktok.com/@myintgots/video/7478883517250784555,26,2,1,"2,646",2025/3/7,,7478883517250784555
38,tiktok,@mariabjdzjo,https://www.tiktok.com/@mariabjdzjo/video/7479865833758493994,28,2,4,"2,555",2025/3/10,,7479865833758493994
39,tiktok,@bonoh2306017,https://www.tiktok.com/@bonoh2306017/video/7486532452953984299,4,0,0,"2,539",2025/3/28,,7486532452953984299
