链接 (Link),类型 (Type),KOL/Live/博主/素材名称,发布日期,成本 (USD),投放地区,平台,浏览量,点赞,Comments,ACOS,Sales,Meta-CPC,Sales/CPM,CPA,转化,备注,更新时间
AMZ US,,02 B&H app,2025/4/3,$114.13,US,SBV,17821,1,0,0.9092,,,,,,,2025-5-22
AMZ US,,02 B&H app,2025/4/25-2025/5/17,$114.13,US,SBV,32141,1,0.4904,,,,,,,2025/05/23,
AMZ IN,,01. 旧素材,2025/4/25-2025/5/17,$104.16,IN,SBV,145773,0,0,0,0,0.8547,,,,,
https://youtube.com/shorts/LsmwzFS0D3c?si=B3m949e29aMjgj0y,,,2025/3/27,,,YouTube,9753,198,8,,,,,,,,2025-6-6
https://youtube.com/shorts/gLAj2U_seds?si=6m6Da8WAb8kYflba,,,2025/5/2,,,YouTube,32439,480,33,,,,,,,,2025-6-6
[002][US] Promoting Tribit,,Stormbox Blast,2025/5/15-2025/5/26,$154.79,US,Meta,,,,,,0.17,2262,0.057,"表现一般, 平均水平",2025/05/27,
,,,2025/4/18-2025/5/8,,,Meta Impressions,63215,,,,,,,,,,2025-5-8
[001][DE] Promoting Tribit,,05. 音乐-新,2025/5/16-2025/5/22,$87.87,Germany,Meta,,,,,,0.02,19911,0.076,"表现一般, 平均水平",2025/05/22,
[001][Mult Geo] Promoting https://www.tribit.com/,,01. 旧素材,2025/4/17-2025/5/17,$154.53,"Brazil, Chile, Mexico, Peru",Meta,,,,,,0.04,22011,0.047,【数据来源: 亚马逊后台】【选择表现好的素材进行投放】,2025/05/17,
AMZ IN,,01 旧素材,2025/4/25-2025/5/17,$140.61,IN,SBV,97591,0.6657,1,14639.56,,,0.009,G1广告于5/8暂停因此CPA产品上...,2025/05/23,,
AMZ IN,,01 旧素材,2025/4/25-2025/5/17,$119.89,IN,SB,118391,0.7888,1,17355.85,,,0.006,G1广告于5/8暂停因此CPA产品上...,2025/05/23,,
[001][EU] Promoting Tribit,,06. Mr. Thai，新素材,2025/5/23-2025/5/28,$120.69,"Germany, Spain, France, UK, Italy",Meta,,,,,,0.1,31304,0.029,仍有表现很好的潜力,2025/05/29,
AMZ UK,,Ulikeit224201,2025/5/13-2025/5/26,$31.97,UK,SBV,4425,0,,,,0.1219,,,,,
AMZ UK,,06. Ulikeit公告,2025/5/13-2025/6/9,$130.43,UK,SBV,12238,0,,,,0.3897,,,,,
https://youtube.com/shorts/qBHnqsTbMow?si=oJTuw_hMHySNqdd4,,,2025/5/3,,,YouTube,10027,140,8,,,,,,,,2025-6-6
